方法,总逆解时间(ms),去除模型加载后的纯求逆时间(ms),模型加载与恢复(ms),元数据读取(ms),候选分类总时间(ms),分支粗分类(ms),分支细分类(ms),网络预测(ms),初值打分(ms),NR精修(ms),未单独计时开销(ms),优化器求解(ms),结果评估(ms)
NN + NR,187.723,149.730,37.993,2.900,25.605,4.347,21.258,3.894,4.116,29.291,83.567,-,0.299
DLS,65.313,65.313,-,-,-,-,-,-,-,-,0.000,65.313,-
L-BFGS-B,120.279,120.279,-,-,-,-,-,-,-,-,0.000,120.279,-
