frame_index,time_index,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,x_mm,y_mm,z_mm,phi_rad,theta_rad,psi_rad,target_x_mm,target_y_mm,target_z_mm,target_phi_rad,target_theta_rad,target_psi_rad,collision,min_clearance_mm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,2.5105259382520745e-15,791.1,-3.141592653589793,-1.5707963267948966,0.0,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,144.99999999999997
1,0.008403361344537815,0.5326681835665612,-0.1408391407580913,0.21317554796383245,-0.001244854291422956,-1.0014239567999157,1.0422762177442342,432.16295149092264,4.017885309977923,791.9853927143405,-2.2900611235651374,-1.546443794321687,-0.8420870149708405,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,145.41047531058004
2,0.01680672268907563,1.0653363671331224,-0.2816782815161826,0.4263510959276649,-0.002489708582845912,-2.0028479135998314,2.0845524354884684,431.26658194143846,8.019858844730795,792.868254781709,-2.280534031894972,-1.5220948399749505,-0.8418741012660288,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,145.80603410190176
3,0.025210084033613446,1.5980045506996836,-0.42251742227427397,0.6395266438914974,-0.003734562874268868,-3.004271870399747,3.1268286532327028,430.31113457419525,12.004960368797956,793.748237404864,-2.270853271832841,-1.4977530455823682,-0.8415191032342711,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,146.19008743855588
4,0.03361344537815126,2.130672734266245,-0.5633565630323653,0.8527021918553298,-0.004979417165691824,-4.005695827199663,4.169104870976937,429.29687289878785,15.97223330292075,794.6249919832826,-2.2610186188090107,-1.4734220003778888,-0.8410218080695196,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,146.56262636781673
5,0.04201680672268908,2.6633409178328056,-0.7041957037904565,1.0658777398191623,-0.006224271457114779,-5.007119783999578,5.21138108872117,428.22408065045255,19.9207251936124,795.4981702050137,-2.2510297583706764,-1.4491053047144642,-0.8403819178034292,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,146.92364249573225
6,0.05042016806722689,3.1960091013993672,-0.8450348445485479,1.2790532877829948,-0.007469125748537736,-6.008543740799494,6.2536573064654055,427.0930617172033,23.84948818150821,796.3674241384647,-2.2408862861291543,-1.4248065737882611,-0.839599049267845,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,147.2731279868357
7,0.058823529411764705,3.7286772849659284,-0.9858739853066392,1.4922288357468272,-0.008713980039960692,-7.00996769759941,7.295933524209639,425.9041400554405,27.757579468205847,797.2324063240858,-2.230587707695323,-1.4005294413780986,-0.8386727340500317,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,147.61107556396266
8,0.06722689075630252,4.26134546853249,-1.1267131260647305,1.7054043837106596,-0.009958834331383648,-8.011391654399326,8.338209741953873,424.65765959406696,31.64406178130632,798.092769865936,-2.2201334386059552,-1.3762775636037825,-0.8376024184431807,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,147.9374785081704
9,0.07563025210084033,4.79401365209905,-1.2675522668228216,1.918579931674492,-0.011203688622806603,-9.01281561119924,9.380485959698108,423.35398412715335,35.50800383736714,798.9481685231051,-2.2095228042440582,-1.3520546227069303,-0.8363874633954673,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,148.25233065875867
10,0.08403361344537816,5.326681835665611,-1.408391407580913,2.1317554796383247,-0.012448542914229558,-10.014239567999155,10.42276217744234,421.9934971952057,39.34848080248026,799.7982568009639,-2.1987550397570708,-1.3278643308577602,-0.8350271444614853,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,148.48922674461193
11,0.09243697478991597,5.859350019232172,-1.5492305483390043,2.344931027602157,-0.013693397205652514,-11.015663524799072,11.465038395186575,420.57660195509044,43.16457475018851,800.6426900422251,-2.1878292899773673,-1.3037104339911951,-0.8335206517605949,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,148.70785960711888
12,0.10084033613445378,6.3920182027987344,-1.6900696890970959,2.5581065755659895,-0.014938251497075472,-12.017087481598988,12.507314612930811,419.1037210386862,46.955375116456366,801.4811245177838,-2.176744609350234,-1.2795967156754737,-0.8318670899474249,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,148.91494082472138
13,0.1092436974789916,6.924686386365296,-1.830908829855187,2.771282123529822,-0.01618310578849843,-13.018511438398903,13.549590830675045,417.57529640032817,50.71997915141164,802.3132175173197,-2.1654999618752218,-1.255527001016275,-0.8300654782004592,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,149.11046470066086
14,0.11764705882352941,7.457354569931857,-1.9717479706132783,2.9844576714936544,-0.017427960079921385,-14.01993539519882,14.591867048419278,415.9917891531315,54.45749236757716,803.138627439634,-2.1540942210675116,-1.2315051605991585,-0.8281147502354845,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,149.29442611971177
15,0.12605042016806722,7.990022753498417,-2.1125871113713695,3.197633219457487,-0.01867281437134434,-15.021359351998735,15.634143266163512,414.35367939427545,58.167028984313674,803.9570138826973,-2.1425261699467826,-1.2075351144728794,-0.8260137543514345,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,149.4668205474882
16,0.13445378151260504,8.52269093706498,-2.253426252129461,3.410808767421319,-0.019917668662767295,-16.02278330879865,16.676419483907747,412.6614660193436,61.84771236819639,804.7680377333867,-2.130794501061914,-1.183620836175853,-0.8237612535170719,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,149.627644029869
17,0.14285714285714285,9.05535912063154,-2.394265392887552,3.623984315385152,-0.02116252295419025,-17.024207265598566,17.71869570165198,410.9156665258218,65.49867546905182,805.5713612568857,-2.118897816560764,-1.1597663568077434,-0.8213559255078701,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,149.77689319253946
18,0.15126050420168066,9.5880273041981,-2.5351045336456433,3.837159863348984,-0.022407377245613206,-18.02563122239848,18.760971919396216,409.1168168058586,69.11906125138185,806.366648185727,-2.106834628315259,-1.1359757691477805,-0.8187963631034277,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,149.9145652406481
19,0.15966386554621848,10.120695487764662,-2.675943674403735,4.050335411312816,-0.02365223153703616,-19.027055179198396,19.803248137140447,407.2654709284069,72.70802312090676,807.1535638084509,-2.0946033581130443,-1.1122532318210128,-0.8160810743568063,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.04065795857736
20,0.16806722689075632,10.653363671331222,-2.816782815161826,4.263510959276649,-0.024897085828459117,-20.02847913599831,20.84552435488468,405.3622009108633,76.26472534596078,807.9317750578588,-2.082202337928059,-1.0886029735132514,-0.8132084829482816,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.15516970982708
21,0.17647058823529413,11.186031854897784,-2.9576219559199175,4.476686507240482,-0.026141940119882072,-21.02990309279823,21.887800572628915,403.4075964803362,79.78834347347667,808.7009505988374,-2.0696298102835606,-1.0650292972349484,-0.8101769286371815,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.25809943700978
22,0.18487394957983194,11.718700038464345,-3.0984610966780086,4.689862055204314,-0.027386794411305027,-22.031327049598143,22.93007679037315,401.40226482467784,83.2780647393001,809.4607609157308,-2.056883928722365,-1.0415365846336846,-0.806984667826742,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.3494466619575
23,0.19327731092436976,12.251368222030905,-3.2393002374360997,4.903037603168146,-0.028631648702727986,-23.03275100639806,23.972353008117384,399.34683033341776,86.73308847257698,810.2108783992383,-2.0439627584003834,-1.0181293003542997,-0.8036298742582205,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.42921148593882
24,0.20168067226890757,12.784036405597469,-3.3801393781941917,5.116213151131979,-0.029876502994150945,-24.034174963197977,25.014629225861622,397.2419343287509,90.15262649396118,810.9509774328113,-2.0308642768209304,-0.9948119964449977,-0.8001106398519288,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.4973945899867
25,0.21008403361344538,13.31670458916403,-3.520978518952283,5.329388699095812,-0.0311213572855739,-25.03559891999789,26.056905443605856,395.0882347867283,93.53590350739316,811.6807344785346,-2.01758637472874,-0.9715893168069559,-0.7964249757143146,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.5095952420624
26,0.2184873949579832,13.849372772730591,-3.661817659710374,5.542564247059644,-0.03236621157699686,-26.037022876797806,27.09918166135009,392.88640604881573,96.88215748520506,812.3998281624588,-2.004126857184184,-0.9484660016841014,-0.7925708133317811,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.48070794479287
27,0.226890756302521,14.382040956297152,-3.8026568004684655,5.7557397950234765,-0.03361106586841981,-27.038446833597725,28.14145787909432,390.63713852398496,100.19064004631075,813.1079393593704,-1.9904834448397892,-0.9254468921887434,-0.7885460059735847,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.4402417624187
28,0.23529411764705882,14.914709139863714,-3.9434959412265567,5.968915342987309,-0.03485592015984277,-28.03987079039764,29.183734096838556,388.3411383815085,103.46061682724385,813.8047512769742,-1.9766537754428803,-0.9025369348576754,-0.7843483303278399,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.38819792690987
29,0.24369747899159663,15.447377323430274,-4.084335081984648,6.182090890951142,-0.03610077445126572,-29.041294747197554,30.22601031458279,385.9991272346398,106.69136784581191,814.4899495394633,-1.9626354055899118,-0.8797411862321781,-0.7799754883964651,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,150.32457825230986
