frame_index,time_index,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,x_mm,y_mm,z_mm,phi_rad,theta_rad,psi_rad,target_x_mm,target_y_mm,target_z_mm,target_phi_rad,target_theta_rad,target_psi_rad,collision,min_clearance_mm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,2.5105259382520745e-15,791.1,-3.141592653589793,-1.5707963267948966,0.0,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,144.99999999999997
1,0.008403361344537815,0.5316350725735017,-0.14153132189608258,0.21395336718010563,-0.0032010825709871717,-1.0040906168075046,1.043894022566352,432.1587974467302,4.010102826866769,791.9885509806404,-2.2916185114765084,-1.546418182920386,-0.84054669763341,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,145.40970360165602
2,0.01680672268907563,1.0632701451470035,-0.28306264379216517,0.42790673436021126,-0.006402165141974343,-2.008181233615009,2.087788045132704,431.25829523540835,8.004343760559973,792.8745473869986,-2.2821076838619154,-1.5220436511232918,-0.8403326686774675,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,145.8044788652963
3,0.025210084033613446,1.5949052177205054,-0.42459396568824775,0.6418601015403169,-0.009603247712961517,-3.0122718504225143,3.131682067699056,430.29873428639445,11.981762243392696,793.757637492932,-2.2724420087862023,-1.4976763472234933,-0.8399758110732908,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,146.1877369297339
4,0.03361344537815126,2.126540290294007,-0.5661252875843303,0.8558134687204225,-0.012804330283948687,-4.016362467230018,4.175576090265408,429.2803758704642,15.941401267757985,794.637469771861,-2.2626212602103655,-1.4733198945296566,-0.8394759107858356,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,146.5594689108194
5,0.04201680672268908,2.6581753628675084,-0.7076566094804129,1.0697668359005281,-0.01600541285493586,-5.020453084037523,5.219470112831759,428.2035015509378,19.882307848053124,795.5136929899186,-2.252645121627924,-1.4489779275932648,-0.8388326681298521,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,146.91966647760066
6,0.05042016806722689,3.189810435441011,-0.8491879313764955,1.2837202030806338,-0.019206495425923033,-6.024543700845029,6.263364135398112,427.06841311417026,23.80353349149501,796.3859562990264,-2.2425131860154623,-1.4246540959741631,-0.8380456977361229,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,147.26832185209952
7,0.058823529411764705,3.7214455080145123,-0.990719253272578,1.4976735702607393,-0.0224075779969102,-7.028634317652533,7.307258157964464,425.8754324884311,27.704134667533943,797.2539093298727,-2.232224955772486,-1.4003520680213752,-0.8371145285115644,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,147.6054278091887
8,0.06722689075630252,4.253080580588014,-1.1322505751686607,1.711626937440845,-0.025608660567897373,-8.032724934460036,8.351152180530816,424.624901651203,31.583173275573966,798.1172022847666,-2.221779842653238,-1.3760755346728764,-0.8360386035958368,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,147.93097767656815
9,0.07563025210084033,4.784715653161515,-1.2737818970647432,1.9255803046209505,-0.028809743138884545,-9.036815551267543,9.395046203097168,423.3171825249425,35.439717110708365,798.9754860303447,-2.2111771676937053,-1.351828213277912,-0.8348172803177734,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,148.2449653348365
