frame_index,time_index,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,x_mm,y_mm,z_mm,phi_rad,theta_rad,psi_rad,target_x_mm,target_y_mm,target_z_mm,target_phi_rad,target_theta_rad,target_psi_rad,collision,min_clearance_mm
20,0.16806722689075632,-19.598734106451754,2.8167976654705607,-32.22202207159238,-0.022572467522187264,17.734880804415166,-9.400482394054995,360.49083299743523,-128.3664827520135,974.1883168425279,2.112449053685989,-1.3097479163849368,0.6701179243096657,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,82.39645992809375
21,0.17647058823529413,-20.57867081177434,2.9576375487440885,-33.83312317517199,-0.023701090898296626,18.621624844635924,-9.870506513757745,353.7783501688154,-132.83782427380555,982.2098075001494,2.094539149818776,-1.2967762037353756,0.6691755864053062,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,78.71403333474576
22,0.18487394957983194,-21.55860751709693,3.0984774320176167,-35.44422427875161,-0.02482971427440599,19.508368884856683,-10.340530633460494,346.840546105532,-137.04688029505934,990.0850435067056,2.0765888967769692,-1.2838163975500274,0.6681861980700188,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,75.24077639051652
23,0.19327731092436976,-22.538544222419517,3.2393173152911445,-37.05532538233123,-0.02595833765051535,20.395112925077438,-10.810554753163244,339.6891502560759,-140.9856692751735,997.8092619929279,2.058598152438552,-1.270869087668455,0.6671496043706279,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,71.46270398220486
24,0.20168067226890757,-23.518480927742107,3.3801571985646732,-38.666426485910854,-0.02708696102662472,21.2818569652982,-11.280578872865995,332.3362089957909,-144.64672200425684,1005.3777971002563,2.040566768050833,-1.2579348671572834,0.6660656431169623,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,67.99099528035426
25,0.21008403361344538,-24.498417633064694,3.520997081838201,-40.277527589490475,-0.02821558440273408,22.16860100551896,-11.750602992568744,324.7940633101757,-148.02309416340404,1012.786083006445,2.022494588230706,-1.245014332465036,0.6649341448578926,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,65.0399490607461
26,0.2184873949579832,-25.478354338387284,3.6618369651117293,-41.88862869307009,-0.029344207778843445,23.055345045739717,-12.220627112271494,317.0753259730306,-151.1083779180915,1020.0296568854227,2.0043814509656133,-1.2321080835780023,0.6637549328778704,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,62.651094968332785
27,0.226890756302521,-26.45829104370987,3.802676848385257,-43.49972979664971,-0.030472831154952806,23.942089085960475,-12.690651231974245,309.19285826123945,-153.89671252427792,1027.104161799464,1.9862271876153217,-1.2192167241771732,0.6625278231940707,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,60.85994040296882
28,0.23529411764705882,-27.438227749032457,3.943516731658785,-45.11083090022933,-0.03160145453106217,24.828833126181234,-13.160675351676995,301.1597462488141,-156.38279392860352,1034.0053495217676,1.968031622914604,-1.2063408617962716,0.6612526245542355,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,59.693227053126435
29,0.24369747899159663,-28.418164454355047,4.084356614932313,-46.721932003808945,-0.032730077907171536,25.715577166401992,-13.630699471379744,292.98927672356206,-158.56188334591386,1040.7290832875967,1.9497945749769467,-1.1934811079809078,0.6599291384353253,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,59.16652083930664
30,0.25210084033613445,-29.398101159677633,4.225196498205841,-48.333033107388566,-0.0338587012832809,26.60232120662275,-14.100723591082494,284.69491277042596,-160.42981479920599,1047.2713404721644,1.9315158552993832,-1.1806380784488884,0.6585571590430955,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,59.282592078494105
31,0.2605042016806723,-30.378037865000216,4.366036381479368,-49.94413421096818,-0.03498732465939026,27.489065246843506,-14.570747710785241,276.2902690661192,-161.98300160898864,1053.6282151935138,1.9131952687685936,-1.1678123932517015,0.6571364733127114,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,60.03092355617335
32,0.2689075630252101,-31.357974570322806,4.506876264752897,-51.5552353145478,-0.03611594803549962,28.375809287064264,-15.040771830487992,267.78908693019514,-163.21844182096356,1059.7959208386799,1.8948326136683833,-1.155004676937198,0.6556668609105334,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,61.28439753127421
33,0.2773109243697479,-32.337911275645396,4.647716148026426,-53.16633641812743,-0.03724457141160899,29.262553327285026,-15.510795950190744,259.20520917811854,-164.13372256287664,1065.770792511474,1.8764276816886813,-1.1422155587134937,0.6541480942372021,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,62.80716336644285
34,0.2857142857142857,-33.31784798096798,4.7885560312999536,-54.77743752170704,-0.03837319478771835,30.14929736750578,-15.980820069893491,250.55255482223723,-164.7270233233374,1071.5492894002873,1.8579802579362092,-1.1294456726141038,0.6525799384321557,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,64.56622761172493
35,0.29411764705882354,-34.297784686290576,4.929395914573481,-56.388538625286664,-0.039501818163827716,31.036041407726543,-16.450844189596243,241.84509366682738,-164.99711814737645,1077.1279970643566,1.8394901209469492,-1.1166956576643272,0.6509621513797405,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,66.45511468181972
36,0.3025210084033613,-35.277721391613156,5.070235797847009,-57.99963972886628,-0.04063044153993708,31.922785447947298,-16.920868309298992,233.09682084354654,-164.94337674548206,1082.5036296369894,1.8209570427005877,-1.1039661580488893,0.6492944837170516,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,68.17882611099049
37,0.31092436974789917,-36.25765809693575,5.211075681120538,-59.6107408324459,-0.04175906491604644,32.80952948816806,-17.39089242900174,224.3217313337253,-164.5657645148399,1087.6730319443109,1.8023807886370855,-1.0912578232808519,0.6475766788436788,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,70.08843700625387
38,0.31932773109243695,-37.237594802258336,5.351915564394065,-61.22184193602551,-0.0428876882921558,33.696273528388815,-17.86091654870449,215.53379452393597,-163.86484147348546,1092.6331815381288,1.7837611176755575,-1.078571308371793,0.645808472933511,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,72.16614529970784
39,0.3277310924369748,-38.21753150758092,5.4927554476675935,-62.83294303960514,-0.04401631166826517,34.58301756860958,-18.33094066840724,206.74692884118903,-162.8417601100541,1097.3811906415958,1.7650977822356275,-1.0659072740032602,0.6439895949487935,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,74.24003701443883
40,0.33613445378151263,-39.19746821290351,5.633595330941121,-64.44404414318475,-0.04514493504437453,35.46976160883033,-18.80096478810999,197.97497651395494,-161.49826215379792,1101.9143080063852,1.746390528261462,-1.053266386699489,0.642119766656608,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,76.26361996238056
41,0.3445378151260504,-40.1774049182261,5.77443521421465,-66.05514524676437,-0.04627355842048389,36.356505649051094,-19.27098890781274,189.23167850495238,-159.83667427149658,1106.2299206801608,1.727639095248667,-1.0406493190013824,0.6401987026479755,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,78.43103110776728
42,0.35294117647058826,-41.15734162354868,5.915275097488177,-67.66624635034398,-0.04740218179659325,37.24324968927185,-19.74101302751549,180.5306496613161,-157.8599026998509,1110.3255556831914,1.7088432162742673,-1.028056749641738,0.6382261103597833,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,80.73142602884415
43,0.36134453781512604,-42.137278328871275,6.056114980761706,-69.27734745392361,-0.04853080517270262,38.129993729492604,-20.211037147218242,171.8853541273432,-155.57142682388377,1114.198881592996,1.6900026180299668,-1.015489363721707,0.6362016900997469,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,83.15515600773925
44,0.3697478991596639,-43.11721503419386,6.196954864035233,-70.88844855750322,-0.04965942854881198,39.016737769713366,-20.681061266920988,163.30908106451858,-152.9752917137901,1117.847710035992,1.6711170208589294,-1.0029478528884623,0.6341251350746322,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,85.53457590195573
45,0.37815126050420167,-44.09715173951645,6.337794747308762,-72.49954966108285,-0.05078805192492134,39.90348180993412,-21.15108538662374,154.81492072293787,-150.0760996345748,1121.269997085167,1.652186138796312,-0.9904329155140464,0.6319961314219534,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,87.9166966585705
46,0.3865546218487395,-45.077088444839035,6.478634630582289,-74.11065076466247,-0.0519166753010307,40.790225850154876,-21.621109506326487,146.41574090759735,-146.87900054468878,1124.4638445628532,1.6332096796137807,-0.9779452568753765,0.6298143582454097,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,90.4135516077464
47,0.3949579831932773,-46.05702515016162,6.619474513855818,-75.72175186824208,-0.05304529867714007,41.67696989037564,-22.09113362602924,138.12416388226796,-143.38968160170538,1127.427501247756,1.6141873448682902,-0.9654855893353526,0.6275794876542888,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,93.01897608476838
48,0.40336134453781514,-47.036961855484215,6.7603143971293465,-77.33285297182171,-0.05417392205324944,42.5637139305964,-22.56115774573199,129.95254375286802,-139.61435569489348,1130.1593639854448,1.595118829955366,-0.9530546325250402,0.6252911848071112,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,95.72743177568398
49,0.4117647058823529,-48.0168985608068,6.901154280402873,-78.94395407540132,-0.05530254542935879,43.450457970817155,-23.03118186543474,121.91294437134854,-135.55974902630643,1132.6579787015814,1.576003824167181,-0.9406531135268685,0.6229491079597852,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,98.53393575655744
50,0.42016806722689076,-48.99683526612939,7.041994163676402,-80.55505517898095,-0.05643116880546816,44.33720201103792,-23.50120598513749,114.0171178001387,-131.23308776373545,1134.922041317217,1.556842010755712,-0.9282817670587833,0.620552908518548,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,101.42941898527377
51,0.42857142857142855,-49.976771971451974,7.18283404694993,-82.16615628256056,-0.05755979218157752,45.22394605125867,-23.971230104840238,106.27648337616532,-126.64208379056743,1136.950398565569,1.5376330670012697,-0.915941335659302,0.6181022310979956,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,104.38043638078605
52,0.4369747899159664,-50.95670867677457,7.323673930223459,-83.77725738614018,-0.05868841555768689,46.110690091479434,-24.441254224542988,98.7021074123399,-121.79491957921812,1138.742048709733,1.5183766642867171,-0.9036325698733821,0.6155967135844984,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,107.50028060121213
53,0.44537815126050423,-51.93664538209715,7.4645138134969855,-85.38835848971979,-0.059817038933796245,46.99743413170019,-24.911278344245737,91.30468357323628,-116.70023221641125,1140.2961421608745,1.4990724681776992,-0.891356228439038,0.6130359872053268,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,110.77175824994922
54,0.453781512605042,-52.91658208741974,7.605353696770514,-86.99945959329942,-0.06094566230990561,47.88417817192095,-25.38130246394849,84.09451396042903,-111.3670966101079,1141.6119819964842,1.4797201385092096,-0.8791130784746085,0.6104196766038108,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,110.94363759839041
55,0.46218487394957986,-53.89651879274233,7.746193580044042,-88.61056069687903,-0.062074285686014974,48.770922212141706,-25.851326583651236,77.08149094165243,-105.80500790937212,1142.6890243783726,1.4603193294788583,-0.8669038956665762,0.60774739992087,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,109.83865208717009
56,0.47058823529411764,-54.876455498064914,7.88703346331757,-90.22166180045866,-0.06320290906212434,49.65766625236247,-26.32135070335399,70.27507975657237,-100.02386316989563,1143.52687887012,1.4408696897471773,-0.8547294644578407,0.605018768883283,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,108.73310437569484
57,0.4789915966386555,-55.8563922033875,8.027873346591099,-91.83276290403828,-0.0643315324382337,50.54441029258322,-26.791374823056735,63.684301930521016,-94.0339422992553,1144.125308653792,1.4213708625453572,-0.8425905782363197,0.6022333888990393,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,107.62800281994211
58,0.48739495798319327,-56.836328908710094,8.168713229864625,-93.44386400761789,-0.06546015581434307,51.431154332803985,-27.261398942759488,57.31771952606418,-87.84588831729566,1144.4842306457658,1.4018224857907826,-0.8304880395237549,0.5993908591601737,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,106.52438884306102
59,0.4957983193277311,-57.81626561403267,8.309553113138154,-95.0549651111975,-0.06658877919045243,52.31789837302474,-27.731423062462234,51.18342026072153,-81.47068696825886,1144.6037155116092,1.3822241922107787,-0.8184226601645899,0.5964907727534576,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,105.42333761715128
60,0.5042016806722689,-58.79620231935527,8.450392996411683,-96.66606621477713,-0.0677174025665618,53.2046424132455,-28.201447182164987,45.28900351756492,-74.919645722457,1144.483987579999,1.362575609474963,-0.8063952615147613,0.5935327167793623,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,104.32595869172582
61,0.5126050420168067,-59.77613902467785,8.59123287968521,-98.27716731835675,-0.06884602594267115,54.09138645346626,-28.671471301867733,39.641567273780524,-68.20437220638782,1144.1254246557396,1.3428763603366456,-0.7944066746302525,0.590516272479704,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,103.2333965570644
62,0.5210084033613446,-60.75607573000043,8.732072762958737,-99.88826842193636,-0.06997464931878052,54.97813049368701,-29.141495421570482,34.247695970585454,-61.336752101221634,1143.5285577320133,1.3231260627836974,-0.782457740455233,0.5874410153744047,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,102.14683112942711
63,0.5294117647058824,-61.73601243532303,8.872912646232267,-101.49936952551599,-0.07110327269488989,55.86487453390777,-29.611519541273235,29.11344934616235,-54.32892655054608,1142.6940706020528,1.3033243301993458,-0.7705493100095965,0.5843065154078088,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,101.06747814380503
