q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33,phi_rad,theta_rad,psi_rad
-109.16216278076172,50.37959289550781,-73.83753204345703,-69.92971801757812,-37.721492767333984,104.5865707397461,-161.46670532226562,-608.218017578125,842.1615600585938,-0.42700645327568054,-0.8410624861717224,0.3320836126804352,0.35300901532173157,-0.4931573271751404,-0.7950977683067322,0.8324963450431824,-0.22228333353996277,0.5074840188026428,2.450778007507324,-0.9835983514785767,-0.4128388464450836
137.7489013671875,-58.321998596191406,-23.748104095458984,-108.91650390625,121.41017150878906,151.14605712890625,280.93218994140625,-165.75070190429688,897.1422729492188,-0.09300064295530319,-0.5942018628120422,0.7989211678504944,-0.710239589214325,0.6019338965415955,0.3650141656398773,-0.6977898478507996,-0.5334789156913757,-0.47800591588020325,-1.7009981870651245,0.7723073363304138,-2.3014063835144043
46.19607162475586,76.89204406738281,-60.90850067138672,175.9834442138672,-13.421058654785156,-58.02751541137695,527.9461669921875,548.5355834960938,381.98492431640625,0.4683768153190613,-0.6344818472862244,0.6148626208305359,-0.7862870097160339,0.01806040294468403,0.6175974607467651,-0.40295901894569397,-0.7727267742156982,-0.4904257357120514,-1.0335581302642822,0.4147476553916931,-2.1363184452056885
-75.51426696777344,-46.81173324584961,-58.02945327758789,-37.30748748779297,42.42695999145508,-175.37742614746094,-122.17912292480469,338.87255859375,1036.9505615234375,-0.1732906550168991,0.9336610436439514,-0.3134443163871765,-0.8556870818138123,-0.30030444264411926,-0.42144617438316345,-0.4876165986061096,0.1951775848865509,0.8509616255760193,-1.7706103324890137,0.509357750415802,0.22546160221099854
-17.781352996826172,-14.182511329650879,-147.24264526367188,51.227569580078125,-16.818578720092773,-72.00305938720703,-492.223876953125,138.43333435058594,821.347900390625,-0.08893173187971115,-0.127317413687706,-0.9878671765327454,0.41184332966804504,-0.9077438712120056,0.07991527020931244,-0.9069048762321472,-0.39973947405815125,0.1331620067358017,1.7834668159484863,1.1358788013458252,-1.2492361068725586
-98.79851531982422,105.53665161132812,15.314825057983398,57.623226165771484,-40.27384948730469,160.85511779785156,-72.62359619140625,-176.52401733398438,-85.78730773925781,0.5629627704620361,0.638206422328949,-0.5251339673995972,0.8056683540344238,-0.5654666423797607,0.17648226022720337,-0.1843135803937912,-0.5224366784095764,-0.8325193524360657,0.9609081745147705,0.1853734254837036,-2.5811710357666016
21.548307418823242,1.6992437839508057,43.12139129638672,-97.55542755126953,50.95866775512695,-67.0246810913086,331.51361083984375,63.02961730957031,500.8532409667969,-0.46461230516433716,0.4454716444015503,0.7653042078018188,-0.05157528072595596,0.8491680026054382,-0.5255984663963318,-0.8840110301971436,-0.2836703360080719,-0.3715585768222809,-3.031038284301758,1.0843740701675415,-2.489532470703125
-81.07196044921875,64.6976089477539,-138.4691619873047,-3.720425605773926,20.807397842407227,-111.99370574951172,63.86051940917969,-418.6821594238281,962.9149780273438,0.9468705654144287,0.3137720227241516,0.07059319317340851,-0.21162745356559753,0.7731419801712036,-0.5978841185569763,-0.24217785894870758,0.5511794090270996,0.7984681129455566,-0.21988816559314728,0.24460987746715546,0.6041834950447083
78.621826171875,28.89352035522461,-32.19411849975586,-69.04206848144531,-20.749752044677734,-1.8613159656524658,90.40673828125,586.765869140625,782.4595947265625,-0.9402408599853516,0.3096696436405182,-0.14160405099391937,-0.1892385631799698,-0.12948864698410034,0.973355770111084,0.2830825448036194,0.9419858455657959,0.18035194277763367,-2.9429800510406494,-0.2870066463947296,1.3816263675689697
-10.20988941192627,58.77521896362305,-44.16207504272461,-45.21385192871094,-129.53138732910156,105.85118103027344,608.5693969726562,-63.997825622558594,588.9061279296875,0.302308589220047,0.8766809105873108,-0.37421947717666626,-0.6176500916481018,0.4791813790798187,0.6236134171485901,0.7260289192199707,0.04261300712823868,0.6863426566123962,-1.1156246662139893,-0.812529444694519,0.06200747936964035
6.590635299682617,-23.262004852294922,-65.01214599609375,-219.53919982910156,105.22306060791016,176.30502319335938,-235.52969360351562,23.492338180541992,1053.06982421875,0.226019024848938,-0.5301351547241211,-0.817234456539154,-0.09177695959806442,-0.8468009233474731,0.5239323377609253,-0.9697899222373962,-0.04341539368033409,-0.24004733562469482,-0.38571831583976746,1.3243680000305176,-2.96266508102417
-150.030029296875,-15.81566333770752,-2.882564067840576,-100.31140899658203,17.432937622070312,-30.034454345703125,-268.76715087890625,-127.08488464355469,917.404052734375,-0.029454849660396576,0.40186843276023865,-0.9152235984802246,-0.8516139388084412,-0.4894793629646301,-0.18751934170722961,-0.523341178894043,0.7738938331604004,0.3566543161869049,-1.6053696870803833,0.5507672429084778,1.1389505863189697
