subspace_id,branch_label,branch_name,x_mm,y_mm,z_mm
0,0,shoulder_negative|elbow_low|wrist_negative,351.3858947753906,95.58885192871094,876.47265625
0,0,shoulder_negative|elbow_low|wrist_negative,-458.4949951171875,443.9322509765625,169.6810302734375
0,0,shoulder_negative|elbow_low|wrist_negative,221.5409698486328,212.6121826171875,890.7924194335938
0,0,shoulder_negative|elbow_low|wrist_negative,-523.4246215820312,399.542236328125,412.9449157714844
0,0,shoulder_negative|elbow_low|wrist_negative,-319.6421813964844,265.0904235839844,91.31803894042969
0,0,shoulder_negative|elbow_low|wrist_negative,131.14239501953125,46.17466735839844,1107.2110595703125
0,0,shoulder_negative|elbow_low|wrist_negative,361.1694030761719,190.10987854003906,875.575439453125
0,0,shoulder_negative|elbow_low|wrist_negative,151.4130859375,339.89447021484375,985.48828125
0,0,shoulder_negative|elbow_low|wrist_negative,226.20895385742188,553.09033203125,724.5047607421875
0,0,shoulder_negative|elbow_low|wrist_negative,-230.93670654296875,330.3083190917969,252.30271911621094
0,0,shoulder_negative|elbow_low|wrist_negative,300.028076171875,643.8699951171875,511.4263916015625
0,0,shoulder_negative|elbow_low|wrist_negative,311.05218505859375,470.3885192871094,688.7664184570312
0,0,shoulder_negative|elbow_low|wrist_negative,177.1237030029297,360.66131591796875,714.2579956054688
0,0,shoulder_negative|elbow_low|wrist_negative,-86.73916625976562,565.0086669921875,398.18231201171875
0,0,shoulder_negative|elbow_low|wrist_negative,-112.21137237548828,466.65948486328125,21.40369987487793
0,0,shoulder_negative|elbow_low|wrist_negative,186.2422637939453,437.16998291015625,606.15771484375
0,0,shoulder_negative|elbow_low|wrist_negative,-84.91645812988281,345.27667236328125,967.7526245117188
0,0,shoulder_negative|elbow_low|wrist_negative,-4.859748840332031,643.5795288085938,137.57943725585938
0,0,shoulder_negative|elbow_low|wrist_negative,-289.34466552734375,328.9814453125,30.757112503051758
0,0,shoulder_negative|elbow_low|wrist_negative,-15.005073547363281,336.7646179199219,1009.6859741210938
0,0,shoulder_negative|elbow_low|wrist_negative,140.4733123779297,268.015625,972.1150512695312
0,0,shoulder_negative|elbow_low|wrist_negative,177.4815673828125,160.9675750732422,856.2276000976562
0,0,shoulder_negative|elbow_low|wrist_negative,-365.21746826171875,385.0404052734375,765.3140258789062
0,0,shoulder_negative|elbow_low|wrist_negative,-60.52211380004883,228.4615478515625,872.1832275390625
